Tarih,Dağıtılan Enerji (MWh)
2018-01-01 00:00:00,1593.944215642219
2018-01-01 01:00:00,1513.9338867058163
2018-01-01 02:00:00,1402.612636518945
2018-01-01 03:00:00,1278.5272663896105
2018-01-01 04:00:00,1220.6977013708286
2018-01-01 05:00:00,1198.8801427451863
2018-01-01 06:00:00,1214.929891193107
2018-01-01 07:00:00,1265.4785289140914
2018-01-01 08:00:00,1273.4256559719358
2018-01-01 09:00:00,1371.6336813811022
2018-01-01 10:00:00,1521.434793766791
2018-01-01 11:00:00,1673.1668560067449
2018-01-01 12:00:00,1720.0136147965293
2018-01-01 13:00:00,1703.9878854375147
2018-01-01 14:00:00,1658.9532714765778
2018-01-01 15:00:00,1625.4116368134387
2018-01-01 16:00:00,1644.18754177162
2018-01-01 17:00:00,1763.7102590807488
2018-01-01 18:00:00,2016.5643139177967
2018-01-01 19:00:00,2092.206342448913
2018-01-01 20:00:00,2028.9455758069366
2018-01-01 21:00:00,1953.8457508550152
2018-01-01 22:00:00,1869.2648921449872
2018-01-01 23:00:00,1739.9730605326158
2018-01-02 00:00:00,1537.4118346990726
2018-01-02 01:00:00,1336.8360666701508
2018-01-02 02:00:00,1226.9701345892695
2018-01-02 03:00:00,1180.8140298616506
2018-01-02 04:00:00,1159.408556336046
2018-01-02 05:00:00,1183.4445561265798
2018-01-02 06:00:00,1305.998970307365
2018-01-02 07:00:00,1558.1149555421814
2018-01-02 08:00:00,1901.8153110935777
2018-01-02 09:00:00,2177.6120272416283
2018-01-02 10:00:00,2305.452402738685
2018-01-02 11:00:00,2368.5972545948894
2018-01-02 12:00:00,2256.569802476886
2018-01-02 13:00:00,2248.6473098442343
2018-01-02 14:00:00,2231.5632912260435
2018-01-02 15:00:00,2185.7685131842254
2018-01-02 16:00:00,2178.681960718779
2018-01-02 17:00:00,2213.733771342856
2018-01-02 18:00:00,2281.7247973983867
2018-01-02 19:00:00,2268.7456074566057
2018-01-02 20:00:00,2198.9992880717323
2018-01-02 21:00:00,2093.5377055357467
2018-01-02 22:00:00,1998.851478224678
2018-01-02 23:00:00,1855.3951125502076
2018-01-03 00:00:00,1620.5154429030943
2018-01-03 01:00:00,1429.1035023224008
2018-01-03 02:00:00,1318.5194271613882
2018-01-03 03:00:00,1261.3827747518476
2018-01-03 04:00:00,1252.70517318599
2018-01-03 05:00:00,1260.040515391135
2018-01-03 06:00:00,1375.3498696930535
2018-01-03 07:00:00,1596.0166860072525
2018-01-03 08:00:00,1907.0441326981904
2018-01-03 09:00:00,2118.397511654058
2018-01-03 10:00:00,2260.7882702949105
2018-01-03 11:00:00,2329.68631868373
2018-01-03 12:00:00,2109.2360352726237
2018-01-03 13:00:00,2274.4951054890994
2018-01-03 14:00:00,2294.6478736856034
2018-01-03 15:00:00,2222.5113730279077
2018-01-03 16:00:00,2219.2964736718905
2018-01-03 17:00:00,2236.9634113233246
2018-01-03 18:00:00,2327.1886684562305
2018-01-03 19:00:00,2282.7775726414693
2018-01-03 20:00:00,2203.550733811499
2018-01-03 21:00:00,2103.526435383751
2018-01-03 22:00:00,2019.3662880660468
2018-01-03 23:00:00,1884.9620048128224
2018-01-04 00:00:00,1655.0693177839
2018-01-04 01:00:00,1484.9681859449126
2018-01-04 02:00:00,1367.1654746002262
2018-01-04 03:00:00,1311.0841826162523
2018-01-04 04:00:00,1289.223806617818
2018-01-04 05:00:00,1306.4085516537498
2018-01-04 06:00:00,1418.9865834406453
2018-01-04 07:00:00,1646.8932173437381
2018-01-04 08:00:00,1944.7252928595774
2018-01-04 09:00:00,2169.548418482089
2018-01-04 10:00:00,2252.8019416595025
2018-01-04 11:00:00,2299.283181427375
2018-01-04 12:00:00,2206.102639862333
2018-01-04 13:00:00,2245.557568868969
2018-01-04 14:00:00,2260.7863774293137
2018-01-04 15:00:00,2253.314648996297
2018-01-04 16:00:00,2275.44636310297
2018-01-04 17:00:00,2313.1907235355457
2018-01-04 18:00:00,2319.626664351124
2018-01-04 19:00:00,2276.649928202632
2018-01-04 20:00:00,2214.376609364086
2018-01-04 21:00:00,2103.4946426475562
2018-01-04 22:00:00,2008.7975540285493
2018-01-04 23:00:00,1868.290004412298
2018-01-05 00:00:00,1657.9692399347723
2018-01-05 01:00:00,1474.0485548284742
2018-01-05 02:00:00,1350.2447077382026
2018-01-05 03:00:00,1295.5712030719326
2018-01-05 04:00:00,1292.777919147743
2018-01-05 05:00:00,1300.1591355506487
2018-01-05 06:00:00,1406.4250482902146
2018-01-05 07:00:00,1639.974190970571
2018-01-05 08:00:00,1960.258627071799
2018-01-05 09:00:00,2159.3018034895413
2018-01-05 10:00:00,2227.8075656638234
2018-01-05 11:00:00,2247.584539118687
2018-01-05 12:00:00,2146.106334022155
2018-01-05 13:00:00,2072.4517750507025
2018-01-05 14:00:00,2086.855941520777
2018-01-05 15:00:00,2062.3196011088553
2018-01-05 16:00:00,2071.156461676653
2018-01-05 17:00:00,2139.231241768864
2018-01-05 18:00:00,2266.1397032221635
2018-01-05 19:00:00,2268.269787960739
2018-01-05 20:00:00,2199.0064886754612
2018-01-05 21:00:00,2090.6760622023244
2018-01-05 22:00:00,2026.2176513863726
2018-01-05 23:00:00,1923.8462712277417
2018-01-06 00:00:00,1734.399324681415
2018-01-06 01:00:00,1569.742311530168
2018-01-06 02:00:00,1439.3754594773934
2018-01-06 03:00:00,1379.257549906466
2018-01-06 04:00:00,1358.8047844324446
2018-01-06 05:00:00,1362.4132456512352
2018-01-06 06:00:00,1402.8960644132217
2018-01-06 07:00:00,1532.7377892909635
2018-01-06 08:00:00,1773.8809115907013
2018-01-06 09:00:00,2030.969040543439
2018-01-06 10:00:00,2166.826060001808
2018-01-06 11:00:00,2226.323754657496
2018-01-06 12:00:00,2129.0922483929417
2018-01-06 13:00:00,2065.313164133082
